id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
1215378018790707205,https://twitter.com/BarackObama/status/1215378018790707205,Thu Jan 09 21:01:14 +0000 2020,2020-01-09 21:01:14+00:00,BarackObama,"Here’s the thing: Even with problems of this magnitude, each of us can still find a way to make change. That’s why I’m proud of young people like Alice Mahar, a environmental activist in Melbourne. Read about her and find ways you can help, too: https://t.co/qAHFiBgw6b",reply,,,,https://www.obama.org/updates/how-you-can-help-australia/,31672,BarackObama,1215377738858663937,813286,en,,False,4921,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",813286,Mon Mar 05 22:08:25 +0000 2007,False,"Dad, husband, President, citizen.",11,111837321,609706,228608,"Washington, DC",Barack Obama,15713,,https://www.obama.org/,True
1215377738858663937,https://twitter.com/BarackObama/status/1215377738858663937,Thu Jan 09 21:00:08 +0000 2020,2020-01-09 21:00:08+00:00,BarackObama,The catastrophic fires in Australia are the latest example of the very real and very urgent consequences of climate change. It’s on us to stay focused and protect the one planet we’ve got for the next generation: https://t.co/dqytauPeXf,original,,,,http://nymag.com/intelligencer/2019/12/new-south-wales-fires-in-australia-the-worlds-response.html,192897,,,,en,,False,35422,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",813286,Mon Mar 05 22:08:25 +0000 2007,False,"Dad, husband, President, citizen.",11,111837321,609706,228608,"Washington, DC",Barack Obama,15713,,https://www.obama.org/,True
1212883749727158273,https://twitter.com/BarackObama/status/1212883749727158273,Thu Jan 02 23:49:54 +0000 2020,2020-01-02 23:49:54+00:00,BarackObama,"With David Stern’s passing, I’m reflecting on everything he did to take the NBA global, creating entire new generations of fans pretending to be like Mike or any of their favorite players on driveways and playgrounds around the world. https://t.co/8QMCazx2Fs",original,,,https://pbs.twimg.com/media/ENUHVroU8AAsPoI.jpg,,82457,,,,en,,False,6031,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",813286,Mon Mar 05 22:08:25 +0000 2007,False,"Dad, husband, President, citizen.",11,111837321,609706,228608,"Washington, DC",Barack Obama,15713,,https://www.obama.org/,True
1212422416716247040,https://twitter.com/BarackObama/status/1212422416716247040,Wed Jan 01 17:16:44 +0000 2020,2020-01-01 17:16:44+00:00,BarackObama,"Here’s to a happy, healthy, and hopeful 2020. Happy New Year, everybody!",original,,,,,1092052,,,,en,,,138585,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",813286,Mon Mar 05 22:08:25 +0000 2007,False,"Dad, husband, President, citizen.",11,111837321,609706,228608,"Washington, DC",Barack Obama,15713,,https://www.obama.org/,True
1211694118767738886,https://twitter.com/BarackObama/status/1211694118767738886,Mon Dec 30 17:02:44 +0000 2019,2019-12-30 17:02:44+00:00,BarackObama,"From hip-hop to country to The Boss, here are my songs of the year. If you’re looking for something to keep you company on a long drive or help you turn up a workout, I hope there’s a track or two in here that does the trick. https://t.co/mQ2VssyDwt",original,,,https://pbs.twimg.com/media/ENDNYDWWwAgJIkf.jpg,,445674,,,,en,,False,70244,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",813286,Mon Mar 05 22:08:25 +0000 2007,False,"Dad, husband, President, citizen.",11,111837321,609706,228608,"Washington, DC",Barack Obama,15713,,https://www.obama.org/,True
1211445110694645760,https://twitter.com/BarackObama/status/1211445110694645760,Mon Dec 30 00:33:16 +0000 2019,2019-12-30 00:33:16+00:00,BarackObama,"If there’s one thing I love about @RepJohnLewis, it’s his incomparable will to fight. I know he’s got a lot more of that left in him. Praying for you, my friend.",original,,,,,230587,,,,en,,,27423,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",813286,Mon Mar 05 22:08:25 +0000 2007,False,"Dad, husband, President, citizen.",11,111837321,609706,228608,"Washington, DC",Barack Obama,15713,,https://www.obama.org/,True
1211331851358494720,https://twitter.com/BarackObama/status/1211331851358494720,Sun Dec 29 17:03:13 +0000 2019,2019-12-29 17:03:13+00:00,BarackObama,"Next up are my favorite movies and TV shows of 2019. Of course, there’s also American Factory, a film from our own production company, Higher Ground, that was recently shortlisted for an Oscar. Here’s the full list: https://t.co/PEcgwotcxm",original,,,https://pbs.twimg.com/media/EM-D5WHWwAMzJZ_.jpg,,228519,,,,en,,False,28603,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",813286,Mon Mar 05 22:08:25 +0000 2007,False,"Dad, husband, President, citizen.",11,111837321,609706,228608,"Washington, DC",Barack Obama,15713,,https://www.obama.org/,True
1211033245812441091,https://twitter.com/BarackObama/status/1211033245812441091,Sat Dec 28 21:16:40 +0000 2019,2019-12-28 21:16:40+00:00,BarackObama,"As we wind down 2019, I wanted to share with you my annual list of favorites that made the last year a little brighter. We’ll start with books today — movies and music coming soon. I hope you enjoy these as much as I did. https://t.co/l5qTGkAPok",original,,,https://pbs.twimg.com/media/EM50UBGWoAEi8Xa.jpg https://pbs.twimg.com/media/EM50UBSXUAEVN_0.jpg,,278316,,,,en,,False,45628,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",813286,Mon Mar 05 22:08:25 +0000 2007,False,"Dad, husband, President, citizen.",11,111837321,609706,228608,"Washington, DC",Barack Obama,15713,,https://www.obama.org/,True
1209624889717596161,https://twitter.com/BarackObama/status/1209624889717596161,Wed Dec 25 00:00:22 +0000 2019,2019-12-25 00:00:22+00:00,BarackObama,"From the Obama family to yours, Merry Christmas! https://t.co/dNfx52AjMN",original,,,https://pbs.twimg.com/media/EMlzavWX0AUouUB.jpg,,1027473,,,,en,,False,78033,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",813286,Mon Mar 05 22:08:25 +0000 2007,False,"Dad, husband, President, citizen.",11,111837321,609706,228608,"Washington, DC",Barack Obama,15713,,https://www.obama.org/,True
1209214676376141824,https://twitter.com/BarackObama/status/1209214676376141824,Mon Dec 23 20:50:19 +0000 2019,2019-12-23 20:50:19+00:00,BarackObama,"On behalf of my family, Chag Sameach and Happy Hanukkah! As Jews around the world celebrate, let the menorah’s light remind us all of the miracles in our own lives.",original,,,,,223843,,,,en,,,19131,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",813286,Mon Mar 05 22:08:25 +0000 2007,False,"Dad, husband, President, citizen.",11,111837321,609706,228608,"Washington, DC",Barack Obama,15713,,https://www.obama.org/,True
